t_const,season_num,episode_num
tt0212699,2,14
tt0398430,1,3
tt0165593,3,3
tt0212698,4,12
tt0212698,4,28
tt0212699,2,13
tt0212699,2,18
tt0212699,2,24
tt1157603,1,3
tt0212699,2,25
tt0058853,1,98
tt0298665,1,8
tt1323588,1,6
tt0212699,4,5
tt0058853,1,126
tt0058853,1,132
tt0212699,4,13
tt0407402,1,8
tt0298665,1,33
tt0062599,1,4
tt0058853,1,125
tt0212699,4,4
tt0058853,1,115
tt0212699,4,14
tt0212698,5,12
tt0165593,3,5
tt0058853,1,113
tt0212698,5,19
tt0212698,5,20
tt0212699,4,16
tt0062568,1,0
tt0165593,3,11
tt0212698,5,21
tt0260607,NULL,NULL
tt0058853,1,111
tt0396335,1,6
tt0212698,5,16
tt0407402,1,13
tt0165593,4,2
tt0165593,3,10
tt0212699,4,2
tt0914702,9,44
tt0212698,5,26
tt0212698,5,11
tt0212699,3,13
tt0058853,1,124
tt0396335,1,1
tt0058853,1,131
tt0212699,4,8
tt0200358,1,17
tt0212698,5,22
tt0407402,1,2
tt0914702,12,26
tt0407402,1,11
tt0212699,3,12
tt0212699,3,35
tt0797756,1,3
tt0297530,1,2
tt0200358,2,1
tt0058853,1,122
tt0165593,4,1
tt0793361,7,5
tt0212699,3,31
tt0212698,5,15
tt0165593,3,8
tt0168387,2,1
tt0212698,5,13
tt0058853,1,109
tt1157603,1,4
tt0398430,2,7
tt0165593,4,4
tt0212698,5,24
tt0407402,1,12
tt0958966,1,2
tt0958966,1,13
tt0058853,1,138
tt0058853,1,156
tt0958966,1,1
tt0058853,1,143
tt0058853,1,150
tt0062578,2,7
tt0212699,4,33
tt0958966,1,3
tt0063875,1,0
tt1601979,1,6
tt0958966,1,10
tt0806910,1,9
tt0398430,3,3
tt0797756,1,5
tt0797756,1,4
tt0058836,3,10
tt0212699,5,2
tt0058836,3,13
tt0058853,1,153
tt0165593,5,1
tt0212699,4,25
tt0165593,4,9
tt0065303,1,0
tt0058853,1,158
