tconst,numVotes,averageRating
tt0000430,486,6
tt0000432,120,5.8
tt0000436,353,6.4
tt0000437,120,5.1
tt0000439,12888,7.3
tt0000440,123,5.4
tt0000442,35,4.6
tt0000447,1508,6.4
tt0000451,536,6.7
tt0000452,70,4.7
tt0000455,1361,6.9
tt0000456,28,4.2
tt0000459,36,4.4
tt0000464,269,4.8
tt0000465,773,7.4
tt0000469,671,5.8
tt0000471,311,5.2
tt0000472,7,6.4
tt0000479,263,5.3
tt0000480,111,5
tt0000487,279,7.1
tt0000488,536,7.1
tt0000491,31,3.5
tt0000492,43,4.9
tt0000495,66,6.1
tt0000496,25,6.3
tt0000497,17,5.6
tt0000498,789,6.7
tt0000499,2452,7.7
tt0000501,19,4.6
tt0000505,10,7.9
tt0000507,22,3.4
tt0000509,15,6.3
tt0000511,15,7.3
tt0000512,28,4.5
tt0000515,46,4.9
tt0000516,614,6.6
tt0000519,241,5.8
tt0000520,15,7.1
tt0000521,197,5.7
tt0000524,521,5.8
tt0000525,22,5.7
tt0000526,31,4.1
tt0000533,16,7.4
tt0000534,652,6.8
tt0000535,31,5
tt0000537,45,4
tt0000543,10,4.8
tt0000546,1322,6.8
tt0000550,5,3.8
tt0000552,21,5.7
tt0000553,135,6.7
tt0000554,790,6.2
tt0000555,8,4.9
tt0000557,74,4.6
tt0000561,20,5.3
tt0000565,336,6.4
tt0000567,633,6.9
tt0000570,25,3.8
tt0000571,40,7
tt0000574,407,6.4
tt0000575,267,6.1
tt0000576,166,6
tt0000578,9,6.8
tt0000582,483,5.3
tt0000583,19,5.6
tt0000584,35,4.8
tt0000597,35,4.9
tt0000598,19,5.3
tt0000599,6,3.8
tt0000601,5,5.8
tt0000602,124,4.9
tt0000609,7,5
tt0000610,8,5.4
tt0000613,6,3.7
tt0000614,570,6.6
tt0000615,12,5.1
tt0000617,14,4.1
tt0000621,417,6.6
tt0000627,13,5.8
tt0000628,503,5.7
tt0000629,23,5.7
tt0000630,7,3.1
tt0000632,23,5
tt0000634,5,4
tt0000637,403,5.6
tt0000638,27,5.1
tt0000639,30,4.8
tt0000640,54,4.4
tt0000641,76,5.2
tt0000642,17,5.5
tt0000644,15,5.5
tt0000645,66,5.3
tt0000648,67,4.6
tt0000651,19,5.1
tt0000653,119,4.5
tt0000654,19,5.4
tt0000658,105,6.7
tt0000659,22,5
tt0000660,13,5.9
tt0000662,11,4.6
tt0000663,11,5.6
tt0000665,11,5.8
tt0000666,19,5.6
tt0000668,17,6.9
tt0000669,82,4.7
tt0000671,7,5.7
tt0000672,9,6.4
tt0000674,18,4.5
tt0000675,7,4.7
tt0000676,6,4
tt0000679,24,6.1
tt0000680,10,5.9
tt0000681,7,5.3
tt0000682,1581,6.9
tt0000683,30,5.6
tt0000684,45,5.1
tt0000685,11,5.9
tt0000689,13,6.6
tt0000690,9,6.6
tt0000694,13,4.9
tt0000695,14,5.9
tt0000698,5,5.4
tt0000699,5,6.4
tt0000700,29,5.3
tt0000704,6,5
tt0000706,8,4.8
tt0000707,5,5.4
tt0000708,5,4.8
tt0000709,12,5.8
tt0000717,5,6
tt0000720,5,6.8
tt0000722,5,5
tt0000724,29,5.2
tt0000727,5,7.2
tt0000728,53,5.8
tt0000730,13,6.2
tt0000731,6,5.3
tt0000733,12,5.9
tt0000738,10,7.8
tt0000739,6,7.2
tt0000740,5,5.6
tt0000746,6,8.3
tt0000747,6,5.2
tt0000748,9,5.9
tt0000749,496,5.7
tt0000750,5,6.4
tt0000752,59,5.4
tt0000754,33,7.2
tt0000755,106,5.8
tt0000756,59,5.4
tt0000758,16,6
tt0000759,7,7.6
tt0000764,68,6.2
