n_const,first_name,last_name,birth_year,death_year
nm0000147,Colin,Firth,1960,NULL
nm0000148,Harrison,Ford,1942,NULL
nm0000149,Jodie,Foster,1962,NULL
nm0000150,Michael,J.Fox,1961,NULL
nm0000151,Morgan,Freeman,1937,NULL
nm0000152,Richard,Gere,1949,NULL
nm0000153,Gina,Gershon,1962,NULL
nm0000154,Mel,Gibson,1956,NULL
nm0000155,Whoopi,Goldberg,1955,NULL
nm0000156,Jeff,Goldblum,1952,NULL
nm0000157,Linda,Hamilton,1956,NULL
nm0000158,Tom,Hanks,1956,NULL
nm0000159,Teri,Hatcher,1964,NULL
nm0000160,Ethan,Hawke,1970,NULL
nm0000161,Salma,Hayek,1966,NULL
nm0000162,Anne,Heche,1969,NULL
nm0000163,Dustin,Hoffman,1937,NULL
nm0000164,Anthony,Hopkins,1937,NULL
nm0000165,Ron,Howard,1954,NULL
nm0000166,Helen,Hunt,1963,NULL
nm0000167,Elizabeth,Hurley,1965,NULL
nm0000168,Samuel,L.Jackson,1948,NULL
nm0000169,Tommy,Lee,1946,NULL
nm0000170,Milla,Jovovich,1975,NULL
nm0000171,Ashley,Judd,1968,NULL
nm0000172,Harvey,Keitel,1939,NULL
nm0000173,Nicole,Kidman,1967,NULL
nm0000174,Val,Kilmer,1959,NULL
nm0000175,Stephen,King,1947,NULL
nm0000176,Nastassja,Kinski,1961,NULL
nm0000177,Kevin,Kline,1947,NULL
nm0000178,Diane,Lane,1965,NULL
nm0000179,JudeLaw,,1972,NULL
nm0000180,David,Lean,1908,1991
nm0000181,Heather,Locklear,1961,NULL
nm0000183,Traci,Lords,1968,NULL
nm0000184,George,Lucas,1944,NULL
nm0000185,Dolph,Lundgren,1957,NULL
nm0000186,David,Lynch,1946,NULL
nm0000187,Madonna,,1958,NULL
nm0000188,Steve,Martin,1945,NULL
nm0000189,Jenny,McCarthy,1972,NULL
nm0000190,Matthew,McConaughey,1969,NULL
nm0000191,Ewan,McGregor,1971,NULL
nm0000192,Alyssa,Milano,1972,NULL
nm0000193,Demi,Moore,1962,NULL
nm0000194,Julianne,Moore,1960,NULL
nm0000195,Bill,Murray,1950,NULL
nm0000196,Mike,Myers,1963,NULL
nm0000197,Jack,Nicholson,1937,NULL
nm0000198,Gary,Oldman,1958,NULL
nm0000199,Al,Pacino,1940,NULL
nm0000200,Bill,Paxton,1955,2017
nm0000201,Michelle,Pfeiffer,1958,NULL
nm0000202,Ryan,Phillippe,1974,NULL
nm0000203,River,Phoenix,1970,1993
nm0000204,Natalie,Portman,1981,NULL
nm0000205,Parker,Posey,1968,NULL
nm0000206,Keanu,Reeves,1964,NULL
nm0000207,Christina,Ricci,1980,NULL
nm0000208,Molly,Ringwald,1968,NULL
nm0000209,Tim,Robbins,1958,NULL
nm0000210,Julia,Roberts,1967,NULL
nm0000211,Mimi,Rogers,1956,NULL
nm0000212,Meg,Ryan,1961,NULL
nm0000213,Winona,Ryder,1971,NULL
nm0000214,Mia,Sara,1967,NULL
nm0000215,Susan,Sarandon,1946,NULL
nm0000216,Arnold,Schwarzenegger,1947,NULL
nm0000217,Martin,Scorsese,1942,NULL
nm0000218,Kristin,Scott,1960,NULL
nm0000219,Steven,Seagal,1952,NULL
nm0000220,Joan,Severance,1958,NULL
nm0000221,Charlie,Sheen,1965,NULL
nm0000222,Brooke,Shields,1965,NULL
nm0000223,Elisabeth,Shue,1963,NULL
nm0000224,Alicia,Silverstone,1976,NULL
nm0000225,Christian,Slater,1969,NULL
nm0000226,Will,Smith,1968,NULL
nm0000227,Mira,Sorvino,1967,NULL
nm0000228,Kevin,Spacey,1959,NULL
nm0000229,Steven,Spielberg,1946,NULL
nm0000230,Sylvester,Stallone,1946,NULL
nm0000231,Oliver,Stone,1946,NULL
nm0000232,Sharon,Stone,1958,NULL
nm0000233,Quentin,Tarantino,1963,NULL
nm0000234,Charlize,Theron,1975,NULL
nm0000235,Uma,Thurman,1970,NULL
nm0000236,Jennifer,Tilly,1958,NULL
nm0000237,John,Travolta,1954,NULL
nm0000238,Shannon,Tweed,1957,NULL
nm0000239,Liv,Tyler,1977,NULL
nm0000240,Skeet,Ulrich,1970,NULL
nm0000241,Jean-ClaudeVan,Damme,1960,NULL
nm0000242,Mark,Wahlberg,1971,NULL
nm0000243,Denzel,Washington,1954,NULL
nm0000244,Sigourney,Weaver,1949,NULL
nm0000245,Robin,Williams,1951,2014
nm0000246,Bruce,Willis,1955,NULL
nm0000247,John,Woo,1946,NULL
nm0000248,Edward,D.Wood,1924,1978
nm0000249,James,Woods,1947,NULL
nm0000250,Renée,Zellweger,1969,NULL
nm0000251,Timothy,Dowling,1973,NULL
nm0000252,Robert,Ellis,1892,1974
nm0000253,Robert,Ellis,1888,1935
nm0000254,Isabelle,Adjani,1955,NULL
nm0000255,Ben,Affleck,1972,NULL
nm0000256,Jenny,Agutter,1952,NULL
nm0000257,Alan,Alda,1936,NULL
nm0000258,Stephanie,Zimbalist,1956,NULL
nm0000259,Ginger,Lynn,1962,NULL
nm0000260,Joan,Allen,1956,NULL
nm0000261,Karen,Allen,1951,NULL
nm0000262,Nancy,Allen,1950,NULL
nm0000263,Kirstie,Alley,1951,NULL
nm0000264,Pedro,Almodóvar,1949,NULL
nm0000265,Robert,Altman,1925,2006
nm0000266,Ursula,Andress,1936,NULL
nm0000267,Julie,Andrews,1935,NULL
nm0000268,Ann-Margret,,1941,NULL
nm0000269,Jean-Jacques,Annaud,1943,NULL
nm0000270,Gabrielle,Anwar,1970,NULL
nm0000271,Anne,Archer,1947,NULL
nm0000272,Fanny,Ardant,1949,NULL
nm0000273,Alan,Arkin,1934,NULL
nm0000274,David,Arquette,1971,NULL
nm0000275,Rosanna,Arquette,1959,NULL
nm0000276,Sean,Astin,1971,NULL
nm0000277,Richard,Attenborough,1923,2014
nm0000278,Pernilla,August,1958,NULL
nm0000279,Hank,Azaria,1964,NULL
nm0000280,Catherine,Bach,1954,NULL
nm0000281,Scott,Baio,1960,NULL
nm0000282,Scott,Bairstow,1970,NULL
nm0000283,Brenda,Bakke,1963,NULL
nm0000284,Adam,Baldwin,1962,NULL
nm0000285,Alec,Baldwin,1958,NULL
nm0000286,Stephen,Baldwin,1966,NULL
nm0000287,William,Baldwin,1963,NULL
nm0000288,Christian,Bale,1974,NULL
nm0000289,Ellen,Barkin,1954,NULL
nm0000290,John,Barry,1933,2011
nm0000291,Angela,Bassett,1958,NULL
nm0000292,Michelle,Bauer,1958,NULL
nm0000293,Sean,Bean,1959,NULL
nm0000294,Amanda,Bearse,1958,NULL
nm0000295,Kate,Beckinsale,1973,NULL
nm0000296,Robert,Beltran,1953,NULL
nm0000297,Tom,Berenger,1949,NULL
nm0000298,Candice,Bergen,1946,NULL
nm0000299,Michael,Biehn,1956,NULL
nm0000300,Juliette,Binoche,1964,NULL
nm0000301,Thora,Birch,1982,NULL
nm0000302,Jacqueline,Bisset,1944,NULL
nm0000303,Honor,Blackman,1925,NULL
nm0000304,Linda,Blair,1959,NULL
nm0000305,Mel,Blanc,1908,1989
nm0000306,Brian,Blessed,1936,NULL
nm0000307,Helena,Bonham,1966,NULL
nm0000308,Ernest,Borgnine,1917,2012
nm0000309,David,Bowie,1947,2016
nm0000310,Bruce,Boxleitner,1950,NULL
nm0000311,Annie,Rosar,1888,1963
nm0000312,Amy,Brenneman,1964,NULL
nm0000313,Jeff,Bridges,1949,NULL
nm0000314,Charles,Bronson,1921,2003
nm0000315,Louise,Brooks,1906,1985
nm0000316,Mel,Brooks,1926,NULL
nm0000317,Clancy,Brown,1959,NULL
nm0000318,Tim,Burton,1958,NULL
nm0000319,Yancy,Butler,1970,NULL
nm0000320,Luis,Buí±uel,1900,1983
nm0000321,Gabriel,Byrne,1950,NULL
nm0000322,Emmanuelle,Béart,1963,NULL
nm0000323,Michael,Caine,1933,NULL
nm0000324,Barbara,Carrera,1945,NULL
nm0000325,David,Caruso,1956,NULL
nm0000326,Kim,Cattrall,1956,NULL
nm0000327,Lacey,Chabert,1982,NULL
nm0000328,Richard,Chamberlain,1934,NULL
nm0000329,Jackie,Chan,1954,NULL
nm0000330,Stockard,Channing,1944,NULL
nm0000331,Chevy,Chase,1943,NULL
nm0000332,Don,Cheadle,1964,NULL
nm0000333,Cher,,1946,NULL
nm0000334,Yun-Fat,Chow,1955,NULL
nm0000335,Glenn,Close,1947,NULL
nm0000336,James,Coburn,1928,2002
nm0000337,Rachael,Leigh,1979,NULL
nm0000338,Francis,Ford,1939,NULL
nm0000339,Roger,Corman,1926,NULL
nm0000340,Cindy,Crawford,1966,NULL
nm0000341,Michael,Crichton,1942,2008
nm0000342,James,Cromwell,1940,NULL
nm0000343,David,Cronenberg,1943,NULL
nm0000344,Denise,Crosby,1957,NULL
nm0000345,Billy,Crystal,1948,NULL
nm0000346,Macaulay,Culkin,1980,NULL
nm0000347,Tim,Curry,1946,NULL
nm0000348,Tony,Curtis,1925,2010
nm0000349,Joan,Cusack,1962,NULL
nm0000350,Beverly,D'Angelo,1951,NULL
nm0000351,Donna,D'Errico,1968,NULL
nm0000352,Vincent,D'Onofrio,1959,NULL
nm0000353,Willem,Dafoe,1955,NULL
nm0000354,Matt,Damon,1970,NULL
nm0000355,Anthony,Daniels,1946,NULL
nm0000356,Sybil,Danning,1952,NULL
nm0000357,Lolita,Davidovich,1961,NULL
nm0000358,Daniel,Day-Lewis,1957,NULL
nm0000359,Olivier,deFunès,1949,NULL
nm0000360,Rebecca,deMornay,1959,NULL
nm0000361,Brian,dePalma,1940,NULL
nm0000362,Danny,DeVito,1944,NULL
nm0000363,Loren,Dean,1969,NULL
nm0000364,Sandra,Dee,1942,2005
nm0000365,Julie,Delpy,1969,NULL
nm0000366,Catherine,Deneuve,1943,NULL
nm0000367,Gérard,Depardieu,1948,NULL
nm0000368,Laura,Dern,1967,NULL
nm0000369,Matt,Dillon,1964,NULL
nm0000370,Walt,Disney,1901,1966
nm0000371,Ami,Dolenz,1969,NULL
nm0000372,Amanda,Donohoe,1962,NULL
nm0000373,Michael,Dorn,1952,NULL
nm0000374,Brad,Dourif,1950,NULL
nm0000375,Robert,Downey,1965,NULL
nm0000376,Fran,Drescher,1957,NULL
nm0000377,Richard,Dreyfuss,1947,NULL
nm0000378,Minnie,Driver,1970,NULL
nm0000379,Kirsten,Dunst,1982,NULL
nm0000380,Robert,Duvall,1931,NULL
nm0000381,Anthony,Edwards,1962,NULL
nm0000382,Atom,Egoyan,1960,NULL
nm0000383,Jennifer,Ehle,1969,NULL
nm0000384,Danny,Elfman,1953,NULL
nm0000385,Sam,Elliott,1944,NULL
nm0000386,Roland,Emmerich,1955,NULL
